age,WORKCLASS,fnlwgt,EDUCATION,educational_num,MARITAL_STATUS,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,income_>50K
67,1,366425,1,16,1,1,1,1,1,99999,0,60,1,1
17,1,244602,2,8,2,2,2,1,1,0,0,15,1,0
31,1,174201,3,13,3,1,3,1,1,0,0,40,1,1
58,2,110199,5,4,3,3,3,1,1,0,0,40,1,0
25,2,149248,4,10,2,2,1,2,1,0,0,40,1,0
59,2,105363,7,9,2,4,2,1,1,0,0,40,1,0
70,1,216390,6,5,3,5,4,1,2,2653,0,40,1,0
35,3,361888,3,13,3,6,3,1,1,0,0,60,2,0
28,1,74784,7,9,2,7,1,1,1,0,0,50,1,0
28,1,118089,7,9,3,1,3,1,1,4386,0,45,1,1
21,1,138513,4,10,2,1,2,1,1,0,0,25,1,0
30,3,100252,7,9,3,5,2,3,1,0,0,60,3,0
59,3,241297,4,10,4,8,1,1,2,6849,0,40,1,0
20,1,39764,7,9,2,7,2,1,1,0,0,40,1,0
45,1,30690,5,4,2,2,1,1,1,0,0,10,1,0
76,1,316185,5,4,4,9,1,1,2,0,0,12,1,0
30,1,110239,8,6,3,3,3,1,1,0,0,55,1,0
54,4,278076,7,9,3,1,3,1,1,5178,0,40,1,1
19,5,259169,4,10,2,10,2,1,2,0,0,30,1,0
44,1,136986,1,16,3,10,3,1,1,0,0,50,1,1
31,1,154227,4,10,3,3,3,1,1,0,0,40,1,0
47,1,117774,7,9,3,6,3,1,1,0,0,40,4,0
37,3,174308,7,9,3,11,3,1,1,0,0,40,1,0
59,1,189721,3,13,3,7,3,1,1,0,0,40,5,1
27,3,229125,9,7,3,11,3,1,1,0,0,40,1,0
24,1,341294,7,9,3,5,3,1,1,0,0,40,1,0
49,1,102583,4,10,3,10,3,1,1,0,1848,44,1,1
36,1,64874,10,14,3,10,3,1,1,0,0,60,1,1
54,6,129432,3,13,3,1,3,1,1,15024,0,40,1,1
44,1,163331,4,10,4,4,5,1,2,0,0,32,1,0
35,1,38245,4,10,3,11,3,1,1,0,0,60,1,0
19,5,167816,7,9,1,1,1,1,2,0,0,35,1,0
71,1,152307,7,9,3,1,3,1,1,0,2377,45,1,1
20,#N/A,249087,4,10,2,#N/A,2,1,2,0,0,40,1,0
62,3,136684,7,9,4,4,6,1,2,0,0,30,1,0
35,3,241126,7,9,2,11,6,1,1,0,0,60,1,0
64,5,287277,6,5,3,2,3,1,1,0,0,40,1,0
53,1,188644,11,1,3,2,3,1,1,0,0,40,7,0
30,1,182833,4,10,2,1,2,2,2,0,0,40,1,0
34,1,434463,3,13,2,5,1,1,2,0,0,39,1,0
62,1,312818,3,13,3,1,3,1,1,0,1902,1,1,1
21,2,173534,4,10,2,10,2,1,2,0,0,40,6,0
42,1,204235,7,9,3,6,3,1,1,0,0,40,1,0
26,1,193165,4,10,3,3,3,1,1,0,0,52,1,1
43,1,175133,4,10,1,12,5,2,2,0,0,35,1,0
28,1,161538,3,13,2,12,1,1,2,0,0,35,1,0
23,1,177787,3,13,2,6,2,1,2,0,0,30,8,0
56,3,176280,7,9,1,2,1,1,1,0,0,50,1,0
19,#N/A,174233,4,10,2,#N/A,2,2,1,0,0,24,1,0
21,1,157893,7,9,2,3,2,1,2,0,0,40,1,0
30,1,296462,10,14,2,10,1,2,1,0,0,30,1,0
58,1,136951,3,13,3,4,3,3,1,0,0,40,9,0
40,1,87771,7,9,2,4,1,1,2,0,0,40,1,0
21,1,206008,4,10,2,4,2,2,1,0,0,50,1,0
25,1,340288,6,5,3,7,3,1,1,0,0,40,1,0
63,3,124015,10,14,#N/A,10,1,1,1,0,0,40,1,1
50,6,262777,10,14,#N/A,1,5,3,1,0,0,45,10,0
29,5,82393,7,9,2,7,5,3,1,0,1590,45,1,0
50,5,141875,7,9,3,3,3,1,1,0,0,40,1,0
27,1,60288,10,14,2,6,2,1,2,0,0,40,1,0
19,1,366088,6,5,2,5,2,1,1,0,0,40,1,0
52,2,254285,1,16,3,10,3,1,1,0,1887,70,14,1
33,5,100734,7,9,1,12,1,1,2,0,0,55,1,0
38,2,534775,4,10,2,12,5,2,2,0,0,50,1,0
34,4,189944,4,10,2,4,1,2,2,0,0,72,1,0
49,6,195727,7,9,3,6,3,1,1,0,0,40,1,0
36,1,160035,4,10,3,1,3,1,1,0,0,55,1,1
66,#N/A,117778,9,7,3,#N/A,3,1,1,0,0,40,1,0
46,3,199596,4,10,1,1,5,1,2,0,0,50,1,0
21,1,199444,7,9,2,4,2,1,2,0,0,44,1,0
32,1,211743,3,13,2,6,1,1,1,0,0,45,1,0
24,1,56121,13,3,3,8,3,1,1,0,0,60,7,0
53,5,228723,7,9,1,11,1,#N/A,1,0,0,40,#N/A,1
59,1,131869,7,9,4,2,1,1,2,0,0,35,1,0
20,2,318382,7,9,2,4,1,1,1,0,0,40,1,0
32,1,130304,7,9,3,10,3,1,1,0,1485,48,1,0
47,1,294913,12,15,3,1,3,1,1,99999,0,40,1,1
37,1,147258,6,5,3,5,3,1,1,0,0,50,1,1
32,1,116539,3,13,3,1,3,1,1,0,1887,55,1,1
20,1,168187,4,10,2,2,6,1,2,4416,0,25,1,0
46,1,143189,13,3,2,5,2,1,2,0,0,40,12,0
37,1,122493,7,9,3,3,3,1,1,0,0,45,1,0
47,#N/A,215620,7,9,2,#N/A,1,1,1,0,0,12,1,0
27,1,293828,7,9,2,2,1,2,2,0,0,40,13,0
30,1,129227,7,9,4,4,1,1,2,0,0,40,1,0
34,1,217652,2,8,1,5,2,1,2,0,0,40,1,0
26,1,58350,3,13,2,10,1,1,2,0,0,50,1,0
23,1,203003,5,4,2,11,1,1,1,0,0,25,14,0
20,#N/A,432376,4,10,2,#N/A,2,1,1,0,0,40,14,0
21,1,228230,4,10,2,2,2,1,2,0,0,15,1,0
42,1,249332,7,9,3,5,3,1,1,0,0,40,1,1
68,3,198884,7,9,3,11,3,1,1,0,0,25,1,0
41,1,192602,4,10,3,11,3,1,1,0,0,40,1,1
49,1,146121,13,3,5,5,5,3,2,0,0,20,15,0
31,1,288983,4,10,2,9,1,1,1,0,0,40,1,0
66,#N/A,186032,#N/A,11,4,#N/A,1,1,2,2964,0,30,1,0
58,1,265579,7,9,1,4,1,1,2,0,0,40,1,0
34,2,180871,3,13,3,4,3,1,1,0,0,55,1,0
63,#N/A,146196,3,13,3,#N/A,3,1,1,0,0,40,1,0
80,3,248568,7,9,3,8,3,1,1,0,0,30,1,0
52,1,31533,7,9,1,2,1,1,1,0,0,40,1,0
56,1,165867,7,9,3,11,3,1,1,0,0,40,1,0
27,2,122660,3,13,2,10,2,2,2,0,0,40,1,0
49,6,172246,3,13,3,6,3,1,1,99999,0,40,1,1
73,5,45784,4,10,2,10,6,1,2,0,0,11,1,0
59,5,197290,6,5,3,2,3,1,1,0,0,40,1,0
33,1,264554,3,13,3,10,3,1,1,0,0,45,1,1
39,1,84954,4,10,3,6,3,1,1,2829,0,65,1,0
33,5,377107,4,10,#N/A,2,2,2,2,0,0,35,1,0
52,1,226084,7,9,4,14,6,1,2,0,0,40,1,0
30,1,196385,4,10,3,11,3,1,1,0,0,45,1,1
66,#N/A,59056,8,6,3,#N/A,4,1,2,0,0,40,1,0
46,1,201217,7,9,1,10,1,1,2,0,0,40,1,0
57,1,437727,10,14,3,10,3,1,1,0,1977,45,1,1
19,#N/A,252752,7,9,2,#N/A,2,2,1,0,0,35,1,0
31,1,20511,3,13,2,2,1,1,2,0,0,25,1,0
43,5,301638,2,8,3,3,3,1,1,0,1579,40,1,0
51,1,337195,4,10,3,6,3,1,1,0,1902,50,1,1
30,4,164552,3,13,2,10,1,1,1,0,1876,40,1,0
29,1,113870,14,2,3,2,3,1,1,0,0,40,#N/A,0
64,4,173754,7,9,3,4,3,1,1,0,0,40,1,0
69,3,107548,6,5,3,4,3,1,1,0,0,40,1,0
22,1,185452,3,13,2,1,2,1,2,0,0,40,1,0
17,1,134829,9,7,2,2,2,1,1,2176,0,20,1,0
25,#N/A,40915,3,13,5,#N/A,1,1,2,0,0,15,1,0
41,1,115562,7,9,1,9,2,1,1,0,0,40,1,0
63,1,308028,10,14,3,12,3,1,1,5013,0,40,1,0
23,1,234460,5,4,2,5,2,2,2,0,0,40,12,0
33,1,195770,7,9,3,5,3,1,1,0,0,40,1,0
23,1,276568,4,10,2,6,2,1,2,0,0,40,1,0
18,6,147612,7,9,2,8,2,1,2,0,0,8,1,0
37,1,103925,7,9,4,4,5,1,2,0,0,68,1,0
32,2,71151,3,13,3,12,3,1,1,0,0,20,1,0
36,1,33394,3,13,3,6,3,1,1,0,1887,35,1,1
31,1,169589,10,14,2,10,1,1,1,0,0,30,1,0
55,1,181242,7,9,1,9,1,1,1,0,0,20,1,0
26,1,144483,#N/A,11,1,6,2,1,2,594,0,35,1,0
55,1,119751,10,14,2,10,6,3,2,0,0,40,17,0
46,1,174928,7,9,1,4,1,1,1,0,0,40,16,0
26,1,109097,7,9,1,4,5,1,2,0,0,48,1,0
35,1,272944,3,13,1,3,1,1,1,0,0,40,1,0
47,5,150211,1,16,3,1,3,1,1,0,0,40,1,1
23,1,32950,3,13,2,6,1,1,1,0,0,40,1,0
29,1,353352,#N/A,11,2,11,6,1,1,0,0,40,1,0
36,1,306646,3,13,3,1,3,1,1,0,0,55,1,1
36,1,176101,4,10,2,11,2,1,1,2174,0,60,1,0
23,1,272185,#N/A,11,2,11,2,1,1,0,0,33,1,0
51,3,132341,7,9,3,1,3,1,1,0,0,45,1,1
32,5,235109,3,13,3,4,4,1,2,0,0,40,1,0
55,1,200939,7,9,3,11,3,1,1,0,0,48,1,1
18,1,353358,4,10,2,2,2,1,1,0,0,16,1,0
